depositor_id,depositor_name,latitude,longitude,average_volume
DEP001,Penyetor 001,-6.1745,106.8227,145
DEP002,Penyetor 002,-6.1812,106.8294,210
DEP003,Penyetor 003,-6.1688,106.8351,175
DEP004,Penyetor 004,-6.1905,106.8178,240
DEP005,Penyetor 005,-6.1569,106.8245,130
DEP006,Penyetor 006,-6.1837,106.8089,195
DEP007,Penyetor 007,-6.1631,106.8142,225
DEP008,Penyetor 008,-6.1954,106.8326,160
DEP009,Penyetor 009,-6.1716,106.8428,205
DEP010,Penyetor 010,-6.1879,106.8397,185
DEP011,Penyetor 011,-6.1518,106.8335,155
DEP012,Penyetor 012,-6.2002,106.8121,250
DEP013,Penyetor 013,-6.1604,106.8057,140
DEP014,Penyetor 014,-6.1793,106.8472,215
DEP015,Penyetor 015,-6.1931,106.8018,180
DEP016,Penyetor 016,-6.2218,106.8794,265
DEP017,Penyetor 017,-6.2305,106.8871,190
DEP018,Penyetor 018,-6.2142,106.8948,235
DEP019,Penyetor 019,-6.2391,106.8716,170
DEP020,Penyetor 020,-6.2057,106.8832,220
DEP021,Penyetor 021,-6.2264,106.9025,280
DEP022,Penyetor 022,-6.2473,106.8904,155
DEP023,Penyetor 023,-6.2119,106.8678,245
DEP024,Penyetor 024,-6.2348,106.8621,200
DEP025,Penyetor 025,-6.1996,106.8991,185
DEP026,Penyetor 026,-6.2435,106.9073,260
DEP027,Penyetor 027,-6.2181,106.9108,175
DEP028,Penyetor 028,-6.2522,106.8785,230
DEP029,Penyetor 029,-6.2074,106.9142,195
DEP030,Penyetor 030,-6.2367,106.8979,210
DEP031,Penyetor 031,-6.2745,106.8281,225
DEP032,Penyetor 032,-6.2832,106.8367,180
DEP033,Penyetor 033,-6.2678,106.8445,250
DEP034,Penyetor 034,-6.2914,106.8193,165
DEP035,Penyetor 035,-6.2596,106.8329,205
DEP036,Penyetor 036,-6.2789,106.8076,275
DEP037,Penyetor 037,-6.2991,106.8412,190
DEP038,Penyetor 038,-6.2643,106.8158,235
DEP039,Penyetor 039,-6.2867,106.8526,150
DEP040,Penyetor 040,-6.2538,106.8489,220
DEP041,Penyetor 041,-6.3052,106.8254,260
DEP042,Penyetor 042,-6.2711,106.8583,175
DEP043,Penyetor 043,-6.2946,106.8019,245
DEP044,Penyetor 044,-6.2489,106.8114,185
DEP045,Penyetor 045,-6.2815,106.8627,215
